tool_name,condition,total_tools,valid_packages,valid_rate,avg_examples,avg_template_fields,avg_semantic_hint_entries
add_observations,raw_mcp,1,1,1.0,0.0,0.0,0.0
add_observations,schema_only,1,0,0.0,1.0,1.0,0.0
add_observations,retrieved_docs,1,0,0.0,1.0,1.0,0.0
add_observations,retrieved_candidates,1,0,0.0,1.0,1.0,0.0
add_observations,retrieved_memory,1,0,0.0,1.0,1.0,0.0
add_observations,autoskill_base,1,0,0.0,2.0,1.0,0.0
convert_time,raw_mcp,1,1,1.0,0.0,0.0,0.0
convert_time,schema_only,1,1,1.0,2.0,3.0,0.0
convert_time,retrieved_docs,1,1,1.0,2.0,3.0,0.0
convert_time,retrieved_candidates,1,1,1.0,2.0,3.0,0.0
convert_time,retrieved_memory,1,1,1.0,1.0,3.0,0.0
convert_time,autoskill_base,1,1,1.0,2.0,3.0,0.0
create_directory,raw_mcp,1,1,1.0,0.0,0.0,0.0
create_directory,schema_only,1,1,1.0,1.0,1.0,0.0
create_directory,retrieved_docs,1,1,1.0,1.0,1.0,0.0
create_directory,retrieved_candidates,1,1,1.0,2.0,1.0,0.0
create_directory,retrieved_memory,1,1,1.0,2.0,1.0,0.0
create_directory,autoskill_base,1,1,1.0,3.0,1.0,0.0
create_entities,raw_mcp,1,1,1.0,0.0,0.0,0.0
create_entities,schema_only,1,0,0.0,1.0,1.0,0.0
create_entities,retrieved_docs,1,0,0.0,1.0,1.0,0.0
create_entities,retrieved_candidates,1,0,0.0,1.0,1.0,0.0
create_entities,retrieved_memory,1,0,0.0,1.0,1.0,0.0
create_entities,autoskill_base,1,0,0.0,2.0,1.0,0.0
create_relations,raw_mcp,1,1,1.0,0.0,0.0,0.0
create_relations,schema_only,1,0,0.0,1.0,1.0,0.0
create_relations,retrieved_docs,1,0,0.0,1.0,1.0,0.0
create_relations,retrieved_candidates,1,0,0.0,1.0,1.0,0.0
create_relations,retrieved_memory,1,0,0.0,1.0,1.0,0.0
create_relations,autoskill_base,1,0,0.0,2.0,1.0,0.0
delete_entities,raw_mcp,1,1,1.0,0.0,0.0,0.0
delete_entities,schema_only,1,1,1.0,1.0,1.0,0.0
delete_entities,retrieved_docs,1,1,1.0,1.0,1.0,0.0
delete_entities,retrieved_candidates,1,1,1.0,1.0,1.0,0.0
delete_entities,retrieved_memory,1,1,1.0,1.0,1.0,0.0
delete_entities,autoskill_base,1,1,1.0,2.0,1.0,0.0
delete_observations,raw_mcp,1,1,1.0,0.0,0.0,0.0
delete_observations,schema_only,1,0,0.0,1.0,1.0,0.0
delete_observations,retrieved_docs,1,0,0.0,1.0,1.0,0.0
delete_observations,retrieved_candidates,1,0,0.0,1.0,1.0,0.0
delete_observations,retrieved_memory,1,0,0.0,1.0,1.0,0.0
delete_observations,autoskill_base,1,0,0.0,2.0,1.0,0.0
delete_relations,raw_mcp,1,1,1.0,0.0,0.0,0.0
delete_relations,schema_only,1,0,0.0,1.0,1.0,0.0
delete_relations,retrieved_docs,1,0,0.0,1.0,1.0,0.0
delete_relations,retrieved_candidates,1,0,0.0,1.0,1.0,0.0
delete_relations,retrieved_memory,1,0,0.0,1.0,1.0,0.0
delete_relations,autoskill_base,1,0,0.0,2.0,1.0,0.0
directory_tree,raw_mcp,1,1,1.0,0.0,0.0,0.0
directory_tree,schema_only,1,1,1.0,2.0,2.0,0.0
directory_tree,retrieved_docs,1,1,1.0,2.0,2.0,0.0
directory_tree,retrieved_candidates,1,1,1.0,2.0,2.0,0.0
directory_tree,retrieved_memory,1,1,1.0,1.0,2.0,0.0
directory_tree,autoskill_base,1,1,1.0,2.0,2.0,3.0
echo,raw_mcp,1,1,1.0,0.0,0.0,0.0
echo,schema_only,1,1,1.0,2.0,1.0,0.0
echo,retrieved_docs,1,1,1.0,2.0,1.0,0.0
echo,retrieved_candidates,1,1,1.0,2.0,1.0,0.0
echo,retrieved_memory,1,1,1.0,1.0,1.0,0.0
echo,autoskill_base,1,1,1.0,2.0,1.0,0.0
edit_file,raw_mcp,1,1,1.0,0.0,0.0,0.0
edit_file,schema_only,1,0,0.0,2.0,3.0,0.0
edit_file,retrieved_docs,1,0,0.0,2.0,3.0,0.0
edit_file,retrieved_candidates,1,0,0.0,2.0,3.0,0.0
edit_file,retrieved_memory,1,0,0.0,1.0,3.0,0.0
edit_file,autoskill_base,1,0,0.0,2.0,3.0,0.0
fetch,raw_mcp,1,1,1.0,0.0,0.0,0.0
fetch,schema_only,1,1,1.0,2.0,4.0,0.0
fetch,retrieved_docs,1,1,1.0,2.0,4.0,0.0
fetch,retrieved_candidates,1,1,1.0,2.0,4.0,0.0
fetch,retrieved_memory,1,1,1.0,1.0,4.0,0.0
fetch,autoskill_base,1,1,1.0,2.0,4.0,0.0
get-annotated-message,raw_mcp,1,1,1.0,0.0,0.0,0.0
get-annotated-message,schema_only,1,1,1.0,2.0,2.0,0.0
get-annotated-message,retrieved_docs,1,1,1.0,2.0,2.0,0.0
get-annotated-message,retrieved_candidates,1,1,1.0,2.0,2.0,0.0
get-annotated-message,retrieved_memory,1,1,1.0,1.0,2.0,0.0
get-annotated-message,autoskill_base,1,1,1.0,2.0,2.0,0.0
